                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9375,                 5.4497,                 3.9917,                 2.0487,                0.09239,                0.03637,                0.03362,                 0.0176,                0.08797,                0.02421,                 0.0186,                  0.008,                  1.988,                 5.6166,                 3.8256,                 2.1372,              6.426e-05,              6.426e-05,              6.426e-05
                      2,                 1.7108,                 3.9828,                 2.9048,                 1.8307,                0.53528,                0.21932,                0.18147,                0.10629,                0.38265,                0.11473,                0.08082,                0.05244,                  1.615,                   4.07,                 4.3872,                  1.762,             0.00013521,             0.00013521,             0.00013521
                      3,                 1.4955,                 3.1918,                 2.2692,                 1.6742,                0.61888,                0.27084,                0.22056,                0.12816,                 0.5473,                0.19049,                0.13399,                0.07209,                   1.49,                 3.3082,                 5.8322,                 1.6719,             0.00020569,             0.00020569,             0.00020569
                      4,                 1.4687,                 2.8344,                 2.0475,                 1.6318,                0.43226,                0.26659,                0.25201,                0.15356,                 0.5012,                0.16885,                0.16533,                0.09058,                 1.4835,                 3.1557,                  4.136,                 1.7085,              0.0002757,              0.0002757,              0.0002757
                      5,                 1.5055,                 2.7832,                 1.9802,                 1.6409,                0.71022,                0.24224,                0.23824,                 0.1459,                0.66096,                0.15587,                0.14363,                0.05903,                 1.5387,                 3.3779,                 4.1198,                 1.7311,             0.00034524,             0.00034524,             0.00034524
                      6,                 1.4918,                 2.8196,                 1.9468,                 1.6362,                 0.5035,                0.30394,                0.25978,                0.13566,                0.45144,                0.21383,                0.13074,                0.05655,                 1.4767,                 3.3346,                  5.011,                 1.7079,             0.00041431,             0.00041431,             0.00041431
                      7,                 1.4989,                 2.7599,                 1.8754,                 1.6318,                0.52023,                0.28192,                0.28162,                 0.1598,                0.55097,                  0.193,                0.15525,                0.06888,                 1.4944,                 4.2266,                 4.4862,                 1.7276,             0.00048291,             0.00048291,             0.00048291
                      8,                 1.4531,                  2.659,                 1.7779,                 1.6148,                0.63602,                0.29201,                0.28249,                0.15259,                0.61776,                0.21538,                0.18124,                0.08867,                 1.4911,                 3.6097,                  3.263,                 1.7389,             0.00055103,             0.00055103,             0.00055103
                      9,                 1.5469,                 2.7577,                 1.8986,                 1.6863,                0.52978,                0.31521,                0.30317,                0.17828,                0.63787,                0.20909,                0.22658,                0.10845,                 1.5085,                 3.4903,                 3.0424,                  1.797,             0.00061868,             0.00061868,             0.00061868
                     10,                 1.4784,                 2.6938,                 1.8217,                 1.6581,                0.61323,                0.28095,                0.27216,                0.15814,                0.60435,                0.22983,                0.20503,                0.11366,                  1.524,                 3.0669,                 2.9329,                  1.808,             0.00068587,             0.00068587,             0.00068587
                     11,                 1.4538,                 2.6433,                 1.7457,                 1.6338,                0.48124,                0.35171,                0.33786,                0.18521,                0.61836,                0.22824,                0.22725,                0.10409,                 1.4809,                 3.1882,                 2.6778,                 1.8046,             0.00069044,             0.00069044,             0.00069044
                     12,                 1.5007,                 2.6663,                 1.7931,                 1.6402,                0.43177,                0.34338,                0.31678,                0.16927,                 0.2932,                0.25585,                0.21413,                0.08699,                 1.4959,                 3.3126,                 2.7187,                  1.778,             0.00069044,             0.00069044,             0.00069044
                     13,                 1.4065,                 2.4288,                 1.6582,                 1.5816,                0.46754,                0.31366,                0.34364,                0.18732,                0.37155,                 0.2549,                0.24075,                 0.1085,                 1.5091,                 3.0705,                  2.553,                 1.7749,             0.00068808,             0.00068808,             0.00068808
                     14,                 1.4101,                 2.5069,                 1.6331,                 1.5861,                0.41554,                 0.3342,                0.33535,                0.19075,                0.34971,                0.27235,                0.24533,                0.11659,                 1.4735,                 2.7541,                 1.9816,                 1.7057,             0.00068573,             0.00068573,             0.00068573
                     15,                 1.4034,                 2.4475,                 1.6069,                  1.588,                0.31743,                0.48446,                0.38542,                0.21194,                0.23202,                 0.3737,                 0.2648,                0.13766,                 1.4892,                 2.6209,                 1.9721,                 1.7055,             0.00068337,             0.00068337,             0.00068337
                     16,                 1.3662,                 2.4049,                 1.5369,                 1.5713,                0.52893,                 0.4027,                0.41101,                0.23701,                 0.4252,                0.29491,                0.29637,                0.13572,                 1.4635,                 2.6688,                  2.017,                 1.6896,             0.00068101,             0.00068101,             0.00068101
                     17,                 1.3648,                 2.3274,                 1.4994,                 1.5655,                0.57919,                0.42448,                0.43248,                0.23824,                0.65881,                0.30715,                0.30274,                0.14801,                 1.4578,                 2.5212,                 2.1339,                 1.6832,             0.00067866,             0.00067866,             0.00067866
                     18,                 1.3593,                 2.3174,                 1.5437,                 1.5547,                0.46273,                0.42009,                0.39802,                0.22687,                0.35845,                0.34665,                0.27605,                0.13442,                  1.455,                 2.6385,                 2.1208,                 1.6318,              0.0006763,              0.0006763,              0.0006763
                     19,                 1.3644,                  2.308,                 1.5211,                 1.5635,                0.60837,                0.45497,                0.54248,                 0.3262,                0.47656,                0.35006,                0.36549,                0.18442,                 1.3284,                 2.3504,                 1.6933,                  1.521,             0.00067394,             0.00067394,             0.00067394
